Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
266,15,23.58,Deonte Harty,WR,13.0,0.0,,2.0,,6.5,0.5/0.5,BUF,13.0,423.0,-157.0,https://www.4for4.com/player/deonte-harty,101
267,15,23.67,Richie James Jr.,WR,575.0,3.0,2.0,57.0,4.0,10.0,3.4/4.1,KC,10.0,306.0,-39.0,https://www.4for4.com/player/richie-james-jr.,102
282,15,25.17,Cedric Tillman,WR,,,,,,,,CLE,5.0,322.0,-40.0,https://www.4for4.com/player/cedric-tillman,103
287,15,25.75,Devin DuVernay,WR,491.0,7.0,12.0,37.0,5.0,11.0,2.6/3.5,BAL,13.0,327.0,-40.0,https://www.4for4.com/player/devin-duvernay,104
292,15,26.17,Jalen Tolbert,WR,12.0,0.0,,2.0,,6.0,0.3/0.4,DAL,7.0,309.0,-17.0,https://www.4for4.com/player/jalen-tolbert,105
297,15,26.75,Marvin Jones Jr.,WR,529.0,0.0,,46.0,3.0,11.5,2.9/5.1,DET,9.0,,,https://www.4for4.com/player/marvin-jones-jr.,106
299,15,26.92,Trey Palmer,WR,,,,,,,,TB,5.0,259.0,40.0,https://www.4for4.com/player/trey-palmer,107
300,15,27.0,Chris Moore,WR,551.0,1.0,3.0,48.0,2.0,11.4,3.0/4.6,TEN,7.0,448.0,-148.0,https://www.4for4.com/player/chris-moore,108
303,15,27.25,Calvin Austin III,WR,,,,,,,,PIT,6.0,246.0,57.0,https://www.4for4.com/player/calvin-austin-iii,109
310,16,28.17,Isaiah McKenzie,WR,478.0,6.1,9.0,42.0,5.0,10.1,2.8/4.3,IND,11.0,,,https://www.4for4.com/player/isaiah-mckenzie,110
312,16,28.5,Tyler Scott,WR,,,,,,,,CHI,13.0,479.0,-167.0,https://www.4for4.com/player/tyler-scott,111
316,16,28.92,Kayshon Boutte,WR,,,,,,,,NE,11.0,343.0,-27.0,https://www.4for4.com/player/kayshon-boutte,112
318,16,29.08,Jauan Jennings,WR,416.0,0.0,,35.0,1.0,11.9,2.2/3.5,SF,9.0,,,https://www.4for4.com/player/jauan-jennings,113
319,16,29.17,Kyle Philips,WR,78.0,0.0,,8.0,,9.8,2.0/3.3,TEN,7.0,434.0,-115.0,https://www.4for4.com/player/kyle-philips,114
324,17,29.67,Quez Watkins,WR,355.0,0.3,3.0,33.0,3.0,10.7,1.9/2.9,PHI,10.0,,,https://www.4for4.com/player/quez-watkins,115
