Rank,Player,Pos,Tier,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,Points,Team,Bye,ESPN,Rank-ADP,Link,RB_Rank
206,Jarquez Hunter,RB,12,230.0,4.4,42.0,6.0,1.0,6.9,0.4/0.5,32.3,LAR,8,,,https://www.4for4.com/player/jarquez-hunter,63
213,Joe Mixon,RB,13,735.0,4.1,133.0,24.0,6.0,7.8,2.2/2.8,121.7,HOU,6,98.0,115.0,https://www.4for4.com/player/joe-mixon,64
220,Tahj Brooks,RB,13,283.0,4.0,52.0,11.0,1.0,6.9,0.6/1.0,39.7,CIN,10,,,https://www.4for4.com/player/tahj-brooks,65
223,Miles Sanders,RB,14,441.0,3.9,82.0,19.0,3.0,6.3,1.1/1.5,71.7,DAL,10,,,https://www.4for4.com/player/miles-sanders,66
233,Raheem Mostert,RB,14,347.0,4.0,66.0,11.0,5.0,7.4,0.7/0.9,70.4,LV,8,,,https://www.4for4.com/player/raheem-mostert,67
235,Justice Hill,RB,14,414.0,4.6,35.0,32.0,3.0,8.0,1.9/2.4,75.1,BAL,7,,,https://www.4for4.com/player/justice-hill,68
239,Jaylen Wright,RB,14,454.0,4.2,85.0,16.0,3.0,6.1,0.9/1.3,71.3,MIA,12,180.0,59.0,https://www.4for4.com/player/jaylen-wright,69
240,Dameon Pierce,RB,14,418.0,4.0,94.0,7.0,3.0,5.8,0.4/0.6,63.4,HOU,6,416.0,-176.0,https://www.4for4.com/player/dameon-pierce,70
241,Sean Tucker,RB,14,451.0,4.3,72.0,18.0,3.0,7.7,1.1/1.4,72.3,TB,9,,,https://www.4for4.com/player/sean-tucker,71
244,Kyle Monangai,RB,14,240.0,4.0,46.0,8.0,2.0,7.0,0.5/0.7,40.0,CHI,5,,,https://www.4for4.com/player/kyle-monangai,72
264,Kareem Hunt,RB,14,338.0,3.5,62.0,19.0,2.0,6.5,1.1/1.5,55.2,KC,10,,,https://www.4for4.com/player/kareem-hunt,73
268,Brashard Smith,RB,14,269.0,4.1,36.0,18.0,2.0,6.8,1.1/1.5,47.8,KC,10,,,https://www.4for4.com/player/brashard-smith,74
272,Kendre Miller,RB,14,558.0,4.0,116.0,13.0,3.0,7.3,0.8/1.1,80.2,NO,11,,,https://www.4for4.com/player/kendre-miller,75
280,Devin Neal,RB,14,129.0,4.2,19.0,7.0,,7.3,0.4/0.5,16.3,NO,11,,,https://www.4for4.com/player/devin-neal,76
281,Trevor Etienne,RB,14,309.0,4.2,56.0,11.0,2.0,7.0,0.6/0.9,48.2,CAR,14,,,https://www.4for4.com/player/trevor-etienne,77
287,Elijah Mitchell,RB,14,260.0,4.0,53.0,8.0,2.0,6.0,0.5/0.6,42.0,KC,10,,,https://www.4for4.com/player/elijah-mitchell,78
289,MarShawn Lloyd,RB,14,493.0,4.0,91.0,20.0,4.0,6.6,1.3/1.7,83.0,GB,5,,,https://www.4for4.com/player/marshawn-lloyd,79
290,Samaje Perine,RB,14,417.0,4.1,37.0,29.0,2.0,9.2,1.7/2.2,68.2,CIN,10,,,https://www.4for4.com/player/samaje-perine,80
297,Emanuel Wilson,RB,14,309.0,4.5,52.0,15.0,2.0,5.0,0.9/1.1,50.4,GB,5,,,https://www.4for4.com/player/emanuel-wilson,81
299,Jaleel McLaughlin,RB,14,310.0,4.5,38.0,25.0,2.0,5.5,1.5/1.7,55.6,DEN,12,,,https://www.4for4.com/player/jaleel-mclaughlin,82
301,Ty Johnson,RB,14,362.0,4.3,44.0,20.0,2.0,8.5,1.2/1.6,58.3,BUF,7,,,https://www.4for4.com/player/ty-johnson,83
302,Khalil Herbert,RB,14,54.0,4.0,10.0,2.0,,6.0,0.1/0.2,6.6,,,309.0,-7.0,https://www.4for4.com/player/khalil-herbert,84
307,Devin Singletary,RB,14,158.0,4.0,29.0,7.0,1.0,6.0,0.4/0.5,25.3,NYG,14,,,https://www.4for4.com/player/devin-singletary,85
309,Jordan James,RB,14,96.0,4.0,17.0,4.0,1.0,7.0,0.2/0.3,17.6,SF,14,,,https://www.4for4.com/player/jordan-james,86
312,Kenneth Gainwell,RB,14,218.0,3.9,47.0,5.0,1.0,6.5,0.3/0.5,30.5,PIT,5,,,https://www.4for4.com/player/kenneth-gainwell,87
317,Kimani Vidal,RB,14,135.0,3.8,21.0,7.0,1.0,7.9,0.4/0.5,23.0,LAC,12,,,https://www.4for4.com/player/kimani-vidal,88
330,Isaiah Davis,RB,14,278.0,4.1,43.0,13.0,1.0,7.7,0.8/1.1,40.3,NYJ,9,,,https://www.4for4.com/player/isaiah-davis,89
359,Tyler Goodson,RB,14,77.0,4.0,14.0,4.0,,5.9,0.2/0.3,9.5,IND,11,,,https://www.4for4.com/player/tyler-goodson,90
361,Cam Akers,RB,14,224.0,4.1,47.0,6.0,1.0,5.4,0.3/0.4,31.3,,,385.0,-24.0,https://www.4for4.com/player/cam-akers,91
363,Sincere McCormick,RB,14,238.0,4.4,43.0,8.0,1.0,6.0,0.5/0.6,33.8,SF,14,,,https://www.4for4.com/player/sincere-mccormick,92
364,Audric Estime,RB,14,118.0,4.1,22.0,5.0,1.0,5.6,0.3/0.4,20.2,,,376.0,-12.0,https://www.4for4.com/player/audric-estime,93
365,Dare Ogunbowale,RB,14,14.0,3.8,2.0,1.0,,6.9,1.1/0.0,0.0,HOU,6,,,https://www.4for4.com/player/dare-ogunbowale,94
366,Raheim Sanders,RB,14,93.0,4.0,16.0,4.0,,7.3,0.2/0.4,11.3,CLE,9,363.0,3.0,https://www.4for4.com/player/raheim-sanders,95
368,Antonio Gibson,RB,14,131.0,4.4,21.0,5.0,1.0,8.2,0.3/0.4,21.4,NE,14,,,https://www.4for4.com/player/antonio-gibson,96
373,Chris Brooks,RB,14,14.0,4.0,2.0,1.0,,6.8,0.8/0.0,0.0,GB,5,,,https://www.4for4.com/player/chris-brooks,97
375,Jeremy McNichols,RB,14,145.0,4.1,31.0,3.0,1.0,5.9,0.2/0.2,0.0,WAS,12,,,https://www.4for4.com/player/jeremy-mcnichols,98
380,Ty Chandler,RB,14,161.0,3.9,32.0,5.0,1.0,7.2,0.3/0.4,24.6,MIN,6,281.0,99.0,https://www.4for4.com/player/ty-chandler,99
386,Zamir White,RB,14,91.0,3.9,18.0,4.0,,5.7,0.2/0.3,10.8,LV,8,227.0,159.0,https://www.4for4.com/player/zamir-white,100
388,Gus Edwards,RB,14,420.0,3.7,105.0,5.0,4.0,6.0,0.3/0.4,68.5,,,393.0,-5.0,https://www.4for4.com/player/gus-edwards,101
395,Trey Sermon,RB,14,221.0,3.6,46.0,11.0,1.0,5.2,0.6/0.9,33.4,PIT,5,,,https://www.4for4.com/player/trey-sermon,102
401,Jamaal Williams,RB,14,237.0,3.5,53.0,10.0,1.0,5.4,0.6/0.7,34.6,,,468.0,-67.0,https://www.4for4.com/player/jamaal-williams,103
403,Emari Demercado,RB,14,178.0,4.2,21.0,14.0,,6.4,0.8/1.1,24.8,ARI,8,,,https://www.4for4.com/player/emari-demercado,104
405,Michael Carter,RB,14,216.0,3.8,37.0,15.0,1.0,5.0,0.9/1.2,35.1,ARI,8,,,https://www.4for4.com/player/michael-carter,105
406,Dylan Laube,RB,14,69.0,3.9,10.0,4.0,,7.2,0.2/0.3,9.0,LV,8,457.0,-51.0,https://www.4for4.com/player/dylan-laube,106
407,Clyde Edwards-Helaire,RB,14,80.0,3.6,16.0,3.0,,8.0,0.2/0.2,9.4,,,,,https://www.4for4.com/player/clyde-edwards-helaire,107
408,Phil Mafah,RB,14,103.0,4.0,19.0,4.0,,6.8,0.2/0.4,12.3,DAL,10,,,https://www.4for4.com/player/phil-mafah,108
409,Craig Reynolds,RB,14,137.0,4.1,27.0,3.0,,8.5,0.2/0.2,15.2,DET,8,308.0,101.0,https://www.4for4.com/player/craig-reynolds,109
