Rank,Player,Pos,Tier,Diff,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
99,Jameson Williams,WR,7,20.4,383.0,9.7,3.0,24.0,3.0,14.8,2.0/3.5,DET,5,135.0,-36.0,https://www.4for4.com/player/jameson-williams,43
100,Xavier Worthy,WR,7,-9.8,,,,,,,,KC,6,91.0,9.0,https://www.4for4.com/player/xavier-worthy,44
102,Jordan Addison,WR,7,10.0,913.0,2.0,1.0,70.0,10.0,13.0,4.1/6.4,MIN,6,109.0,-7.0,https://www.4for4.com/player/jordan-addison,45
103,Rome Odunze,WR,7,-3.6,,,,,,,,CHI,7,101.0,2.0,https://www.4for4.com/player/rome-odunze,46
108,Ladd McConkey,WR,8,-3.8,,,,,,,,LAC,5,110.0,-2.0,https://www.4for4.com/player/ladd-mcconkey,47
110,Keon Coleman,WR,8,-5.4,,,,,,,,BUF,12,105.0,5.0,https://www.4for4.com/player/keon-coleman,48
111,Brian Thomas Jr.,WR,8,7.0,,,,,,,,JAC,12,119.0,-8.0,https://www.4for4.com/player/brian-thomas-jr.,49
114,Jakobi Meyers,WR,8,30.4,843.0,6.0,4.0,71.0,10.0,11.4,4.4/6.6,LV,10,128.0,-14.0,https://www.4for4.com/player/jakobi-meyers,50
118,Tyler Lockett,WR,8,20.0,894.0,0.0,,79.0,5.0,11.3,4.6/7.2,SEA,10,130.0,-12.0,https://www.4for4.com/player/tyler-lockett,51
120,Romeo Doubs,WR,8,21.4,674.0,0.0,,59.0,8.0,11.4,3.5/5.6,GB,10,173.0,-53.0,https://www.4for4.com/player/romeo-doubs,52
121,Khalil Shakir,WR,8,12.4,621.0,10.0,1.0,39.0,2.0,15.7,2.3/2.6,BUF,12,159.0,-38.0,https://www.4for4.com/player/khalil-shakir,53
123,Curtis Samuel,WR,9,19.2,652.0,5.6,7.0,62.0,5.0,9.9,3.9/5.7,BUF,12,153.0,-30.0,https://www.4for4.com/player/curtis-samuel,54
125,Joshua Palmer,WR,9,28.6,587.0,6.0,1.0,38.0,2.0,15.3,3.8/6.1,LAC,5,169.0,-44.0,https://www.4for4.com/player/joshua-palmer,55
128,Mike Williams,WR,9,21.8,252.0,3.0,1.0,19.0,1.0,13.1,6.3/8.7,NYJ,12,129.0,-1.0,https://www.4for4.com/player/mike-williams,56
130,Brandin Cooks,WR,9,38.4,692.0,7.0,5.0,54.0,8.0,12.2,3.4/5.1,DAL,7,183.0,-53.0,https://www.4for4.com/player/brandin-cooks,57
131,Rashid Shaheed,WR,9,53.0,756.0,5.3,7.0,46.0,6.0,15.6,3.1/5.0,NO,12,161.0,-30.0,https://www.4for4.com/player/rashid-shaheed,58
138,Demario Douglas,WR,9,64.8,602.0,5.1,8.0,49.0,,11.4,3.5/5.6,NE,14,167.0,-29.0,https://www.4for4.com/player/demario-douglas,59
139,Jerry Jeudy,WR,9,5.6,758.0,0.0,,54.0,2.0,14.0,3.4/5.4,CLE,10,133.0,6.0,https://www.4for4.com/player/jerry-jeudy,60
147,Josh Downs,WR,10,46.7,771.0,0.0,,68.0,2.0,11.3,4.0/5.8,IND,14,,,https://www.4for4.com/player/josh-downs,61
148,Dontayvion Wicks,WR,10,34.8,596.0,1.0,1.0,39.0,4.0,14.9,2.6/3.9,GB,10,201.0,-53.0,https://www.4for4.com/player/dontayvion-wicks,62
156,Adonai Mitchell,WR,10,14.0,,,,,,,,IND,14,168.0,-12.0,https://www.4for4.com/player/adonai-mitchell,63
159,Rashod Bateman,WR,10,67.7,385.0,18.0,1.0,32.0,1.0,11.5,2.0/3.5,BAL,14,,,https://www.4for4.com/player/rashod-bateman,64
161,Darnell Mooney,WR,10,22.2,419.0,2.5,2.0,31.0,1.0,13.4,2.1/4.1,ATL,12,144.0,17.0,https://www.4for4.com/player/darnell-mooney,65
162,Gabe Davis,WR,10,8.8,744.0,-2.0,1.0,45.0,7.0,16.6,2.6/4.8,JAC,12,155.0,7.0,https://www.4for4.com/player/gabe-davis,66
164,Michael Wilson,WR,10,44.0,565.0,0.0,,38.0,3.0,14.9,2.9/4.5,ARI,11,,,https://www.4for4.com/player/michael-wilson,67
165,Ja'Lynn Polk,WR,10,22.6,,,,,,,,NE,14,182.0,-17.0,https://www.4for4.com/player/ja'lynn-polk,68
174,Wan'dale Robinson,WR,11,73.7,612.0,9.7,9.0,60.0,2.0,8.8,4.0/5.2,NYG,11,,,https://www.4for4.com/player/wan'dale-robinson,69
175,Adam Thielen,WR,11,-11.2,1020.0,6.0,1.0,103.0,4.0,9.8,6.1/8.1,CAR,11,150.0,25.0,https://www.4for4.com/player/adam-thielen,70
176,Greg Dortch,WR,11,81.0,285.0,5.0,1.0,24.0,2.0,11.7,1.5/2.6,ARI,11,,,https://www.4for4.com/player/greg-dortch,71
179,Luke McCaffrey,WR,11,44.3,,,,,,,,WAS,14,,,https://www.4for4.com/player/luke-mccaffrey,72
183,Quentin Johnston,WR,11,29.7,440.0,3.0,3.0,38.0,2.0,11.3,2.2/3.9,LAC,5,,,https://www.4for4.com/player/quentin-johnston,73
185,Marvin Mims Jr.,WR,11,50.0,407.0,3.3,9.0,22.0,2.0,17.1,1.4/2.1,DEN,14,,,https://www.4for4.com/player/marvin-mims-jr.,74
187,Dyami Brown,WR,11,94.0,172.0,0.0,1.0,12.0,1.0,14.0,0.7/1.4,WAS,14,,,https://www.4for4.com/player/dyami-brown,75
190,Xavier Legette,WR,12,-15.0,,,,,,,,CAR,11,174.0,16.0,https://www.4for4.com/player/xavier-legette,76
192,Jahan Dotson,WR,12,-19.3,518.0,0.0,,49.0,4.0,10.6,2.9/4.9,PHI,5,,,https://www.4for4.com/player/jahan-dotson,77
197,Jalen McMillan,WR,12,84.0,,,,,,,,TB,11,,,https://www.4for4.com/player/jalen-mcmillan,78
199,Jalen Nailor,WR,12,237.0,29.0,0.0,,3.0,,9.7,0.5/1.0,MIN,6,345.0,-146.0,https://www.4for4.com/player/jalen-nailor,79
203,Tyler Boyd,WR,12,45.7,678.0,5.5,2.0,67.0,2.0,10.0,3.9/5.8,TEN,5,,,https://www.4for4.com/player/tyler-boyd,80
204,Malachi Corley,WR,12,-7.5,,,,,,,,NYJ,12,,,https://www.4for4.com/player/malachi-corley,81
208,Darius Slayton,WR,13,84.0,770.0,0.0,,50.0,4.0,15.4,2.9/4.6,NYG,11,,,https://www.4for4.com/player/darius-slayton,82
211,Demarcus Robinson,WR,13,64.5,394.0,23.0,1.0,26.0,4.0,14.3,1.6/2.4,LAR,6,,,https://www.4for4.com/player/demarcus-robinson,83
212,Ricky Pearsall,WR,13,-2.0,,,,,,,,SF,9,,,https://www.4for4.com/player/ricky-pearsall,84
214,Jermaine Burton,WR,13,2.3,,,,,,,,CIN,12,,,https://www.4for4.com/player/jermaine-burton,85
215,Jalin Hyatt,WR,13,64.0,373.0,0.0,,23.0,,16.2,1.4/2.4,NYG,11,,,https://www.4for4.com/player/jalin-hyatt,86
216,Javon Baker,WR,13,120.3,,,,,,,,NE,14,472.0,-256.0,https://www.4for4.com/player/javon-baker,87
219,Andrei Iosivas,WR,13,82.0,116.0,0.0,,15.0,4.0,7.7,0.9/1.6,CIN,12,,,https://www.4for4.com/player/andrei-iosivas,88
223,Roman Wilson,WR,13,-36.5,,,,,,,,PIT,9,,,https://www.4for4.com/player/roman-wilson,89
224,Jalen Tolbert,WR,13,31.0,268.0,0.0,,22.0,2.0,12.2,1.3/2.1,DAL,7,,,https://www.4for4.com/player/jalen-tolbert,90
225,Troy Franklin,WR,13,-1.3,,,,,,,,DEN,14,,,https://www.4for4.com/player/troy-franklin,91
233,Devaughn Vele,WR,13,349.0,,,,,,,,DEN,14,386.0,-153.0,https://www.4for4.com/player/devaughn-vele,92
236,Josh Reynolds,WR,13,98.0,608.0,0.0,,40.0,5.0,15.2,2.4/3.8,DEN,14,,,https://www.4for4.com/player/josh-reynolds,93
237,Elijah Moore,WR,13,62.0,651.0,1.2,9.0,59.0,2.0,10.8,3.5/6.1,CLE,10,,,https://www.4for4.com/player/elijah-moore,94
242,DJ Chark Jr.,WR,14,100.0,525.0,0.0,,35.0,5.0,15.0,2.3/4.4,LAC,5,,,https://www.4for4.com/player/dj-chark-jr.,95
246,Kendrick Bourne,WR,14,88.5,410.0,4.0,1.0,37.0,4.0,11.0,4.6/6.9,NE,14,,,https://www.4for4.com/player/kendrick-bourne,96
249,Tre Tucker,WR,14,44.5,408.0,7.7,10.0,19.0,2.0,17.4,1.2/2.1,LV,10,,,https://www.4for4.com/player/tre-tucker,97
251,Brenden Rice,WR,14,37.0,,,,,,,,LAC,5,282.0,-31.0,https://www.4for4.com/player/brenden-rice,98
253,Jordan Whittington,WR,14,42.7,,,,,,,,LAR,6,253.0,0.0,https://www.4for4.com/player/jordan-whittington,99
254,Cedric Tillman,WR,14,206.0,232.0,8.0,1.0,21.0,,10.7,1.5/3.1,CLE,10,,,https://www.4for4.com/player/cedric-tillman,100
260,Odell Beckham Jr.,WR,15,-38.0,565.0,0.0,,35.0,3.0,16.1,2.5/4.6,MIA,6,,,https://www.4for4.com/player/odell-beckham-jr.,101
262,Treylon Burks,WR,15,73.0,239.0,3.6,5.0,16.0,,13.8,1.5/2.7,TEN,5,,,https://www.4for4.com/player/treylon-burks,102
263,Kalif Raymond,WR,15,40.0,564.0,10.7,7.0,35.0,1.0,14.0,2.1/2.6,DET,5,,,https://www.4for4.com/player/kalif-raymond,103
265,Van Jefferson,WR,15,36.0,213.0,4.0,1.0,20.0,,10.4,1.2/2.5,PIT,9,,,https://www.4for4.com/player/van-jefferson,104
268,Jauan Jennings,WR,15,8.5,265.0,0.0,,19.0,1.0,13.9,1.5/2.5,SF,9,247.0,21.0,https://www.4for4.com/player/jauan-jennings,105
270,Alec Pierce,WR,15,76.0,514.0,0.0,,32.0,2.0,16.1,1.9/3.8,IND,14,,,https://www.4for4.com/player/alec-pierce,106
272,Michael Thomas,WR,15,139.0,448.0,0.0,,39.0,1.0,11.5,3.9/6.4,,,412.0,-140.0,https://www.4for4.com/player/michael-thomas,107
278,Jacob Cowing,WR,15,203.0,,,,,,,,SF,9,436.0,-158.0,https://www.4for4.com/player/jacob-cowing,108
281,Tyquan Thornton,WR,15,421.0,142.0,17.0,3.0,13.0,,7.0,1.4/2.6,NE,14,,,https://www.4for4.com/player/tyquan-thornton,109
282,Devontez Walker,WR,15,29.7,,,,,,,,BAL,14,330.0,-48.0,https://www.4for4.com/player/devontez-walker,110
286,Bo Melton,WR,15,94.5,239.0,7.0,3.0,16.0,1.0,13.6,3.2/4.8,GB,10,307.0,-21.0,https://www.4for4.com/player/bo-melton,111
287,Malik Washington,WR,15,35.7,,,,,,,,MIA,6,341.0,-54.0,https://www.4for4.com/player/malik-washington,112
288,A.T. Perry,WR,15,78.0,246.0,0.0,,12.0,4.0,20.5,1.2/1.8,NO,12,475.0,-187.0,https://www.4for4.com/player/a.t.-perry,113
290,K.J. Osborn,WR,15,23.5,540.0,0.0,,48.0,3.0,11.2,3.0/4.7,NE,14,,,https://www.4for4.com/player/k.j.-osborn,114
291,Jonathan Mingo,WR,15,82.0,418.0,0.0,,43.0,,9.7,2.9/5.7,CAR,11,,,https://www.4for4.com/player/jonathan-mingo,115
292,Zay Jones,WR,15,14.5,321.0,0.0,,34.0,2.0,9.4,3.8/7.1,ARI,11,,,https://www.4for4.com/player/zay-jones,116
298,Jamison Crowder,WR,15,269.0,159.0,0.0,,16.0,1.0,9.9,0.9/1.2,WAS,14,,,https://www.4for4.com/player/jamison-crowder,117
299,Xavier Gipson,WR,15,168.0,297.0,8.5,8.0,21.0,2.0,10.9,1.2/2.2,NYJ,12,,,https://www.4for4.com/player/xavier-gipson,118
301,Jha'Quan Jackson,WR,15,321.0,,,,,,,,TEN,5,349.0,-48.0,https://www.4for4.com/player/jha'quan-jackson,119
302,Tim Patrick,WR,15,17.0,621.0,0.0,,45.0,5.0,13.8,3.2/5.1,DET,5,,,https://www.4for4.com/player/tim-patrick,120
304,Trey Palmer,WR,15,73.0,407.0,7.3,3.0,39.0,3.0,9.9,2.3/4.0,TB,11,,,https://www.4for4.com/player/trey-palmer,121
307,Johnny Wilson,WR,15,77.5,,,,,,,,PHI,5,336.0,-29.0,https://www.4for4.com/player/johnny-wilson,122
308,Nelson Agholor,WR,15,21.0,381.0,0.0,,35.0,4.0,10.9,2.1/2.6,BAL,14,,,https://www.4for4.com/player/nelson-agholor,123
310,Calvin Austin III,WR,15,3.0,237.0,5.2,11.0,17.0,2.0,10.6,1.0/1.8,PIT,9,,,https://www.4for4.com/player/calvin-austin-iii,124
318,Tutu Atwell,WR,15,37.0,514.0,6.2,5.0,39.0,3.0,12.4,2.4/4.2,LAR,6,,,https://www.4for4.com/player/tutu-atwell,125
321,John Metchie III,WR,16,48.5,162.0,4.0,1.0,16.0,,9.9,1.0/1.9,HOU,14,347.0,-26.0,https://www.4for4.com/player/john-metchie-iii,126
323,Charlie Jones,WR,16,120.0,77.0,6.5,2.0,7.0,1.0,9.1,0.6/0.8,CIN,12,342.0,-19.0,https://www.4for4.com/player/charlie-jones,127
332,Noah Brown,WR,16,73.0,566.0,-1.0,1.0,33.0,2.0,17.2,3.3/5.5,WAS,14,,,https://www.4for4.com/player/noah-brown,128
335,Marquez Valdes-Scantling,WR,16,103.5,315.0,0.0,,21.0,1.0,15.0,1.3/2.6,BUF,12,388.0,-53.0,https://www.4for4.com/player/marquez-valdes-scantling,129
337,Kadarius Toney,WR,16,-64.7,200.0,2.8,11.0,27.0,1.0,6.3,2.1/2.9,,,231.0,106.0,https://www.4for4.com/player/kadarius-toney,130
338,Olamide Zaccheaus,WR,16,164.0,164.0,0.0,,10.0,2.0,16.4,0.6/1.2,WAS,14,,,https://www.4for4.com/player/olamide-zaccheaus,131
344,Justin Watson,WR,17,-79.0,460.0,0.0,,27.0,3.0,17.0,1.7/3.3,KC,6,241.0,103.0,https://www.4for4.com/player/justin-watson,132
