Rank,Player,Pos,Tier,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,Points,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
182,Alec Pierce,WR,11,621.0,0.0,,35.0,4.0,17.7,2.1/3.8,103.7,IND,11,,,https://www.4for4.com/player/alec-pierce,73
184,Michael Wilson,WR,11,576.0,0.0,,47.0,4.0,12.3,2.8/4.2,105.0,ARI,8,,,https://www.4for4.com/player/michael-wilson,74
191,Jaylin Noel,WR,12,308.0,3.0,2.0,25.0,2.0,11.9,1.5/2.5,55.6,HOU,6,,,https://www.4for4.com/player/jaylin-noel,75
192,Kayshon Boutte,WR,12,561.0,0.0,,48.0,3.0,11.6,2.8/4.4,98.3,NE,14,,,https://www.4for4.com/player/kayshon-boutte,76
194,DeAndre Hopkins,WR,12,388.0,0.0,,34.0,4.0,11.4,2.0/3.2,79.8,BAL,7,,,https://www.4for4.com/player/deandre-hopkins,77
198,Darius Slayton,WR,12,751.0,0.0,,54.0,4.0,13.8,3.2/5.8,126.4,NYG,14,,,https://www.4for4.com/player/darius-slayton,78
200,Andrei Iosivas,WR,12,497.0,0.0,,42.0,4.0,11.8,2.5/4.1,94.7,CIN,10,,,https://www.4for4.com/player/andrei-iosivas,79
202,Jordan Whittington,WR,12,505.0,5.0,3.0,43.0,3.0,11.3,2.5/3.9,90.1,LAR,8,,,https://www.4for4.com/player/jordan-whittington,80
204,Troy Franklin,WR,12,381.0,0.0,,37.0,3.0,10.2,2.2/4.0,74.8,DEN,12,,,https://www.4for4.com/player/troy-franklin,81
205,Adonai Mitchell,WR,12,376.0,4.0,3.0,27.0,2.0,13.4,1.6/3.1,63.1,IND,11,,,https://www.4for4.com/player/adonai-mitchell,82
208,Isaac TeSlaa,WR,13,227.0,0.0,,20.0,1.0,11.5,1.2/1.9,38.6,DET,8,216.0,-8.0,https://www.4for4.com/player/isaac-teslaa,83
210,Olamide Zaccheaus,WR,13,270.0,0.0,,22.0,1.0,12.4,1.3/2.0,43.9,CHI,5,305.0,-95.0,https://www.4for4.com/player/olamide-zaccheaus,84
212,Keandre Lambert-Smith,WR,13,255.0,0.0,,18.0,1.0,14.3,1.0/1.6,40.4,LAC,12,272.0,-60.0,https://www.4for4.com/player/keandre-lambert-smith,85
214,Pat Bryant,WR,13,500.0,0.0,,39.0,3.0,12.8,2.3/3.7,87.5,DEN,12,,,https://www.4for4.com/player/pat-bryant,86
216,Jack Bech,WR,13,402.0,0.0,,36.0,2.0,11.1,2.1/3.2,70.3,LV,8,,,https://www.4for4.com/player/jack-bech,87
219,KaVontae Turpin,WR,13,461.0,6.9,13.0,29.0,2.0,12.8,1.7/2.7,72.6,DAL,10,,,https://www.4for4.com/player/kavontae-turpin,88
221,Tutu Atwell,WR,13,437.0,4.0,2.0,34.0,2.0,12.6,2.0/3.2,72.8,LAR,8,,,https://www.4for4.com/player/tutu-atwell,89
222,Elijah Moore,WR,14,254.0,2.0,3.0,25.0,2.0,10.0,1.5/2.3,49.8,BUF,7,275.0,-53.0,https://www.4for4.com/player/elijah-moore,90
228,Noah Brown,WR,14,536.0,0.0,,40.0,3.0,13.4,2.4/3.9,91.6,WAS,12,,,https://www.4for4.com/player/noah-brown,91
229,Quentin Johnston,WR,14,373.0,3.0,3.0,30.0,3.0,12.2,1.7/2.8,70.1,LAC,12,,,https://www.4for4.com/player/quentin-johnston,92
230,Calvin Austin III,WR,14,547.0,0.0,,43.0,2.0,12.6,2.6/4.2,88.4,PIT,5,,,https://www.4for4.com/player/calvin-austin-iii,93
232,Nick Westbrook-Ikhine,WR,14,485.0,0.0,,36.0,3.0,13.3,2.1/3.6,84.7,MIA,12,,,https://www.4for4.com/player/nick-westbrook-ikhine,94
234,Brandin Cooks,WR,14,389.0,0.0,,32.0,2.0,12.2,1.9/3.3,66.8,NO,11,,,https://www.4for4.com/player/brandin-cooks,95
236,Elic Ayomanor,WR,14,396.0,0.0,,34.0,2.0,11.5,2.0/3.3,68.9,TEN,10,,,https://www.4for4.com/player/elic-ayomanor,96
237,Tyler Lockett,WR,14,496.0,0.0,,44.0,3.0,11.4,2.6/4.2,89.4,TEN,10,,,https://www.4for4.com/player/tyler-lockett,97
242,Malik Washington,WR,14,440.0,5.0,10.0,41.0,3.0,9.6,2.4/3.5,82.3,MIA,12,,,https://www.4for4.com/player/malik-washington,98
243,Devaughn Vele,WR,14,417.0,0.0,,37.0,2.0,11.4,2.2/3.1,72.0,NO,11,,,https://www.4for4.com/player/devaughn-vele,99
248,Jalen Tolbert,WR,14,484.0,0.0,,40.0,3.0,12.0,2.4/3.8,86.5,DAL,10,,,https://www.4for4.com/player/jalen-tolbert,100
251,Roman Wilson,WR,14,434.0,4.0,3.0,41.0,2.0,10.3,2.4/4.0,75.8,PIT,5,,,https://www.4for4.com/player/roman-wilson,101
254,Dontayvion Wicks,WR,14,315.0,0.0,,24.0,2.0,12.9,1.4/2.4,55.7,GB,5,412.0,-158.0,https://www.4for4.com/player/dontayvion-wicks,102
255,Amari Cooper,WR,14,996.0,0.0,,74.0,5.0,13.5,4.3/7.4,166.4,LV,8,223.0,32.0,https://www.4for4.com/player/amari-cooper,103
258,Josh Reynolds,WR,14,469.0,0.0,,49.0,3.0,9.7,2.9/4.6,89.2,NYJ,9,,,https://www.4for4.com/player/josh-reynolds,104
259,Jalen Royals,WR,14,300.0,0.0,,24.0,2.0,12.3,1.4/2.3,54.2,KC,10,428.0,-169.0,https://www.4for4.com/player/jalen-royals,105
274,Chimere Dike,WR,14,315.0,4.0,3.0,23.0,2.0,13.1,1.4/2.3,55.0,TEN,10,,,https://www.4for4.com/player/chimere-dike,106
275,Sterling Shepard,WR,14,206.0,0.0,,19.0,1.0,11.0,1.1/1.9,35.9,TB,9,400.0,-125.0,https://www.4for4.com/player/sterling-shepard,107
276,Tre Tucker,WR,14,527.0,4.0,9.0,38.0,3.0,13.0,2.2/3.6,89.7,LV,8,,,https://www.4for4.com/player/tre-tucker,108
277,Parker Washington,WR,14,285.0,0.0,,28.0,2.0,10.3,1.6/2.5,54.3,JAC,8,,,https://www.4for4.com/player/parker-washington,109
285,Jaylin Lane,WR,14,244.0,0.0,,18.0,1.0,13.9,1.0/1.6,39.2,WAS,12,399.0,-114.0,https://www.4for4.com/player/jaylin-lane,110
286,Greg Dortch,WR,14,306.0,5.0,2.0,30.0,2.0,9.8,1.8/2.6,57.8,ARI,8,,,https://www.4for4.com/player/greg-dortch,111
292,Zay Jones,WR,14,240.0,0.0,,24.0,1.0,10.1,1.4/2.3,41.9,ARI,8,423.0,-131.0,https://www.4for4.com/player/zay-jones,112
295,Jalen Nailor,WR,14,351.0,0.0,,29.0,2.0,12.3,1.8/2.9,61.3,MIN,6,,,https://www.4for4.com/player/jalen-nailor,113
296,Tim Patrick,WR,14,288.0,0.0,,23.0,2.0,12.5,1.4/2.1,52.3,JAC,8,314.0,-18.0,https://www.4for4.com/player/tim-patrick,114
