Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,RB_Rank
246,14,21.75,Deuce Vaughn,RB,,,,,,,,DAL,7.0,183.0,63.0,https://www.4for4.com/player/deuce-vaughn,69
248,14,21.92,James Robinson,RB,476.0,3.9,110.0,11.0,5.0,4.6,1.0/1.3,NYG,13.0,492.0,-244.0,https://www.4for4.com/player/james-robinson,70
252,14,22.25,Evan Hull,RB,,,,,,,,IND,11.0,,,https://www.4for4.com/player/evan-hull,71
254,14,22.42,Pierre Strong Jr.,RB,142.0,10.0,10.0,7.0,1.0,6.0,0.5/0.5,NE,11.0,,,https://www.4for4.com/player/pierre-strong-jr.,72
259,15,22.83,Eric Gray,RB,,,,,,,,NYG,13.0,369.0,-110.0,https://www.4for4.com/player/eric-gray,73
261,15,23.0,Chase Edmonds,RB,402.0,3.6,68.0,16.0,3.0,9.8,1.2/1.8,TB,5.0,,,https://www.4for4.com/player/chase-edmonds,74
269,15,23.83,Malik Davis,RB,224.0,4.2,38.0,6.0,1.0,10.5,0.5/0.6,DAL,7.0,,,https://www.4for4.com/player/malik-davis,75
271,15,24.08,Latavius Murray,RB,892.0,4.4,171.0,27.0,6.0,4.9,2.1/2.7,BUF,13.0,,,https://www.4for4.com/player/latavius-murray,76
273,15,24.33,Israel Abanikanda,RB,,,,,,,,NYJ,7.0,372.0,-99.0,https://www.4for4.com/player/israel-abanikanda,77
274,15,24.42,Chris Evans,RB,38.0,0.0,,3.0,1.0,12.7,0.3/0.3,CIN,7.0,,,https://www.4for4.com/player/chris-evans,78
275,15,24.5,Keaontay Ingram,RB,81.0,2.2,27.0,4.0,1.0,5.2,0.3/0.4,ARI,14.0,,,https://www.4for4.com/player/keaontay-ingram,79
276,15,24.58,Chase Brown,RB,,,,,,,,CIN,7.0,,,https://www.4for4.com/player/chase-brown,80
278,15,24.75,Isaiah Spiller,RB,54.0,2.3,18.0,3.0,,4.3,0.5/0.5,LAC,5.0,,,https://www.4for4.com/player/isaiah-spiller,81
285,15,25.5,Kyren Williams,RB,215.0,4.0,35.0,9.0,,8.4,0.9/1.2,LAR,10.0,,,https://www.4for4.com/player/kyren-williams,82
290,15,26.0,Zach Evans,RB,,,,,,,,LAR,10.0,,,https://www.4for4.com/player/zach-evans,83
291,15,26.08,DeWayne McBride,RB,,,,,,,,MIN,13.0,,,https://www.4for4.com/player/dewayne-mcbride,84
301,15,27.08,Boston Scott,RB,232.0,4.0,54.0,5.0,3.0,3.0,0.3/0.4,PHI,10.0,288.0,13.0,https://www.4for4.com/player/boston-scott,85
317,16,29.0,Matt Breida,RB,338.0,4.1,54.0,20.0,1.0,5.9,1.2/1.5,NYG,13.0,,,https://www.4for4.com/player/matt-breida,86
325,17,29.75,Jordan Mason,RB,258.0,6.0,43.0,,1.0,0.0,,SF,9.0,416.0,-91.0,https://www.4for4.com/player/jordan-mason,87
327,17,30.08,D'Ernest Johnson,RB,24.0,4.2,4.0,3.0,,2.3,0.2/0.2,JAC,9.0,,,https://www.4for4.com/player/d'ernest-johnson,88
332,17,30.83,Zack Moss,RB,495.0,4.9,93.0,11.0,1.0,3.5,0.8/1.0,IND,11.0,,,https://www.4for4.com/player/zack-moss,89
341,18,31.92,Tyrion Davis-Price,RB,99.0,2.9,34.0,,,0.0,,SF,9.0,399.0,-58.0,https://www.4for4.com/player/tyrion-davis-price,90
346,18,32.67,Salvon Ahmed,RB,72.0,5.3,12.0,1.0,1.0,8.0,0.1/0.1,MIA,10.0,370.0,-24.0,https://www.4for4.com/player/salvon-ahmed,91
