Rank,ADP,Name,POS,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,IP,Z_K,Z_QS,Z_W,Z_SV,Z_HLD,Z_ERA,Z_WHIP,$
251,259.7,Andres Gimenez,2B,468.0,0.519,-0.149,0.369,1.317,-0.138,0.305,-0.44,,,,,,,,,2.19
252,235.8,Gabriel Moreno,C,364.0,0.076,-0.258,0.131,-0.386,0.294,1.707,0.216,,,,,,,,,2.19
253,118.5,Eury Perez,SP,,,,,,,,,148.9,0.711,0.278,-0.208,0.0,0.0,0.0,-0.282,2.17
254,256.7,Chris Bassitt,SP,,,,,,,,,163.2,0.28,0.491,0.603,0.0,0.0,0.116,0.223,2.11
255,244.5,Bailey Ober,SP,,,,,,,,,160.6,0.264,0.325,0.448,0.0,0.0,0.179,-0.131,2.02
256,258.5,Tony Santillan,RP,,,,,,,,,64.8,0.525,0.0,0.504,-0.67,1.124,0.293,0.218,1.99
257,141.4,Josh Hader,RP,,,,,,,,,46.2,0.373,0.0,-0.199,1.257,-1.178,-0.229,-0.484,1.97
258,161.4,Emmet Sheehan,SP,,,,,,,,,134.7,0.342,0.041,0.294,0.0,0.0,-0.079,-0.181,1.91
259,254.9,Jordan Westburg,3B,339.0,0.168,0.241,0.157,-0.436,-0.378,0.806,0.959,,,,,,,,,1.86
260,254.5,Brayan Bello,SP,,,,,,,,,169.4,0.141,0.61,0.603,0.0,0.0,0.232,0.223,1.84
261,254.2,Willi Castro,2B/3B/ OF,432.0,0.36,-0.128,0.204,0.749,0.255,0.355,-0.353,,,,,,,,,1.77
262,259.8,Brooks Raley,RP,,,,,,,,,58.3,0.018,0.0,0.27,-0.67,1.367,0.04,0.083,1.76
263,243.1,Shane McClanahan,SP,,,,,,,,,132.1,0.333,0.207,-0.324,0.0,0.0,-0.336,-0.308,1.76
264,240.9,Max Muncy,3B,330.0,0.267,0.598,0.34,-0.563,1.132,-1.097,0.697,,,,,,,,,1.69
265,258.4,Andrew Vaughn,1B,459.0,0.377,0.533,0.643,-0.764,0.189,0.155,0.238,,,,,,,,,1.68
266,258.3,Josh Smith,1B/SS/ 3B,471.0,0.697,-0.149,0.274,0.32,0.835,0.005,-0.615,,,,,,,,,1.68
267,253.3,Brady Singer,SP,,,,,,,,,163.2,0.386,0.515,0.255,0.0,0.0,0.184,0.148,1.68
268,258.6,Casey Mize,SP,,,,,,,,,157.9,0.139,0.42,0.255,0.0,0.0,0.011,-0.004,1.65
269,246.7,Daulton Varsho,OF,434.0,0.385,0.761,0.658,-0.071,0.22,-1.047,0.369,,,,,,,,,1.57
270,259.6,Luis Severino,SP,,,,,,,,,169.4,0.121,0.468,0.641,0.0,0.0,0.289,0.198,1.52
271,256.9,Ryan Jeffers,C,417.0,0.399,0.327,0.446,-0.588,0.517,-0.045,0.172,,,,,,,,,1.51
272,250.7,Jonathan India,2B/3B/ OF,439.0,0.569,-0.117,0.223,-0.172,0.857,0.255,-0.418,,,,,,,,,1.47
273,258.1,Brooks Lee,2B/SS/ 3B,452.0,0.399,0.23,0.475,-0.31,0.024,0.355,0.019,,,,,,,,,1.46
274,97.7,Blake Snell,SP,,,,,,,,,120.3,0.31,-0.101,0.062,0.0,0.0,-0.336,-0.105,1.45
275,253.1,Nolan Arenado,3B,454.0,0.335,0.273,0.541,-0.537,0.093,0.505,-0.047,,,,,,,,,1.43
276,257.2,Jeff McNeil,2B/OF,416.0,0.441,-0.214,0.281,-0.462,0.211,0.906,-0.003,,,,,,,,,1.43
277,218.5,Tatsuya Imai,SP,,,,,,,,,157.7,0.414,0.302,0.487,0.0,0.0,0.184,0.325,1.42
278,259.6,Chase DeLauter,OF,429.0,0.37,0.089,0.31,-0.474,0.517,0.205,0.128,,,,,,,,,1.41
279,184.9,Ernie Clement,2B/SS/ 3B,447.0,0.328,-0.344,0.332,-0.008,-0.478,1.356,-0.068,,,,,,,,,1.37
280,260.0,Taj Bradley,SP,,,,,,,,,154.8,0.349,0.278,0.217,0.0,0.0,0.111,0.072,1.35
281,251.8,Noah Cameron,SP,,,,,,,,,160.6,-0.031,0.491,0.487,0.0,0.0,0.132,0.173,1.31
282,258.7,Nolan Gorman,2B/3B,453.0,0.416,0.978,0.723,-0.399,0.87,-1.497,-0.068,,,,,,,,,1.26
